model,report,tp,fp,fn,hallucination
gpt-3.5-turbo-1106,00e162e4080ed1f3a77cb1346d82909e,1,0,0,0
gpt-3.5-turbo-1106,02dc59711b14c545c0e618fe042d47c2,4,1,0,0
gpt-3.5-turbo-1106,042649424ea9fa0f58fce993cc94c2d9,6,1,0,0
gpt-3.5-turbo-1106,0731e1f57655c445fe18469c61887c4d,2,1,1,0
gpt-3.5-turbo-1106,08566eb78816561955e6f09c4dda6806,2,0,0,0
gpt-3.5-turbo-1106,08f2252e212e8d364961df439442b00b,3,0,0,0
gpt-3.5-turbo-1106,094bdd31faa1c56e3a3c56a94dba33a5,4,1,2,1
gpt-3.5-turbo-1106,0c1774c0f1c3e9acf86d5f6b88a919a3,3,0,0,0
gpt-3.5-turbo-1106,0c78ae9be59154a672970677dd78abe2,1,1,0,0
gpt-3.5-turbo-1106,0cab33de67d78381c63aedfb4bb611e5,1,0,0,0
gpt-3.5-turbo-1106,0cfbac932d3b062eb173b58bd4eb9579,3,0,1,0
gpt-3.5-turbo-1106,0cfbfb9199430962ff0f910cd10e5508,3,3,0,0
gpt-3.5-turbo-1106,0dba8abbfa0c009cae804856789bdc48,3,1,0,0
gpt-3.5-turbo-1106,0dbcf8b83f3110e7739bbf0144e3d7b8,1,1,1,0
gpt-3.5-turbo-1106,0e0a3a6365cf94bdfe1822c24d5d6c7f,1,1,0,0
gpt-3.5-turbo-1106,0ea31920260efb948f757228059e37bf,1,0,0,0
gpt-3.5-turbo-1106,0f7a64fd438c7e9f2b621d2baae66a15,3,0,0,0
gpt-3.5-turbo-1106,10381b6612810b00fcab47b4852fad83,1,1,1,0
gpt-3.5-turbo-1106,10f748978e62759f8bed31b70e318233,1,1,0,0
gpt-3.5-turbo-1106,124c8c6ccde6f2c08a28390d5a2b3ee5,7,0,0,0
gpt-3.5-turbo-1106,148fb644bd23b9ea8f2b68eee5e7778c,3,1,0,0
gpt-3.5-turbo-1106,176d7659be98f0d9149d4fef75ec62a4,4,0,1,0
gpt-3.5-turbo-1106,17b762f58b2c0080b5cd40fd25f67dcc,0,2,1,0
gpt-3.5-turbo-1106,182ae24b6955bf3360cfa6e338b90b1b,0,1,0,0
gpt-3.5-turbo-1106,18e09d3a3116134cd73a4830b5210e92,3,1,3,0
gpt-3.5-turbo-1106,192949f55487696355e02cb868f14ac6,2,0,0,0
gpt-3.5-turbo-1106,1a6316a4384f6274bcc93c9fc6bf0643,3,0,2,1
gpt-3.5-turbo-1106,1ba459ad450c0041a8ed06fbba67425d,0,1,1,0
gpt-3.5-turbo-1106,1e8016d0c437fd4cb874351e06d6f5f2,3,1,3,1
gpt-3.5-turbo-1106,1ed0bb3cf1c35081d44f947e92730688,5,0,1,0
gpt-3.5-turbo-1106,1f0ca08df8400283ef13fc6fa47ab5cf,1,4,5,0
gpt-3.5-turbo-1106,1fb503d302643ab0912d8128207fd5c6,1,1,0,0
gpt-3.5-turbo-1106,20b4a2a7745cfe9ad85da507b8021020,1,1,0,0
gpt-3.5-turbo-1106,20b74e65265848143b745bd14cbb52b7,6,1,0,0
gpt-3.5-turbo-1106,219dc10c9d8f9b280fba336c1bbaf319,1,1,0,0
gpt-3.5-turbo-1106,24d6d85de869a4ca5f50703e650d71b4,1,1,0,0
gpt-3.5-turbo-1106,252e17b5466a0ecec0e5b7cb8b486072,1,0,1,0
gpt-3.5-turbo-1106,265bf36d3894b353286509a02152b447,7,2,0,0
gpt-3.5-turbo-1106,26fe0c1d4515f774e596cf7d49aac778,4,0,4,0
gpt-3.5-turbo-1106,2e1bc045ff8cf1bc05af9f08f5ea2bdf,1,1,1,0
gpt-3.5-turbo-1106,30725da9c71b8c44da8fc32e758a8788,3,0,2,0
gpt-3.5-turbo-1106,30c084a5597472114fdb6d163c7a43cc,1,0,0,0
gpt-3.5-turbo-1106,313f39596011cd82b4bc8b6c7c09c200,1,1,1,0
gpt-3.5-turbo-1106,3283f1955aecf34ce483402bab0bc8f3,1,0,1,0
